,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
33,saint-joseph,40,RE,1599087320,68,-21.37,55.62,66.99,5.82
34,saskylakh,100,RU,1599087320,83,71.92,114.08,44.02,6.4
35,bac lieu,73,RS,1599087321,82,45.39,19.24,57.2,5.82
36,ketchikan,90,US,1599087321,82,55.34,-131.65,57.2,8.05
37,brae,100,GB,1599087321,93,60.4,-1.35,55.4,19.46
38,shimoda,20,JP,1599087321,84,34.67,138.95,86.0,9.17
39,port elizabeth,0,CD,1599087321,44,-7.03,29.76,75.76,1.07
40,puerto ayora,0,ES,1599087322,50,36.59,-6.23,75.2,8.05
41,muzaffarpur,40,IN,1599087322,88,26.12,85.4,78.8,4.7
42,airai,39,TL,1599087322,53,-8.93,125.41,65.97,3.65
43,rikitea,5,PF,1599087322,82,-23.12,-134.97,70.07,18.54
44,butaritari,24,KI,1599087322,75,3.07,172.79,82.8,14.52
45,dikson,0,RU,1599087322,84,73.51,80.55,40.84,10.16
46,talnakh,90,RU,1599087323,69,69.49,88.4,32.0,2.24
47,hobart,20,AU,1599087281,66,-42.88,147.33,55.0,5.82
48,cairns,75,AU,1599087152,69,-16.92,145.77,77.0,11.41
49,atuona,17,PF,1599087323,79,-9.8,-139.03,78.76,23.0
50,inirida,85,CO,1599087323,93,3.87,-67.92,74.71,2.21
51,bluff,62,NZ,1599087324,72,-46.6,168.33,45.0,11.01
52,provideniya,75,RU,1599087324,61,64.38,-173.3,48.2,13.42
53,hilo,1,US,1599087179,55,19.73,-155.09,86.0,9.17
54,bredasdorp,60,ZA,1599087324,77,-34.53,20.04,59.0,16.11
55,cape town,6,CL,1599087324,62,-36.41,-71.9,55.4,9.17
56,new norfolk,75,LR,1599087325,94,6.65,-10.59,77.0,3.13
57,isangel,75,VU,1599086813,69,-19.55,169.27,73.4,11.41
58,mount gambier,100,GB,1599087325,94,53.66,-1.85,61.0,8.99
59,yar-sale,93,RU,1599087325,90,66.83,70.83,44.74,12.08
60,grand gaube,1,US,1599087325,14,38.88,-109.5,87.8,5.86
61,tomatlan,1,MX,1599087326,72,19.93,-105.25,84.58,6.46
62,rawson,89,AR,1599086800,42,-43.3,-65.1,57.02,13.53
63,bambous virieux,75,MU,1599087326,94,-20.26,57.41,70.0,1.12
64,katangli,89,RU,1599087326,88,51.71,143.23,64.78,4.85
65,castro,1,BR,1599087326,94,-24.79,-50.01,59.61,7.92
66,rio gallegos,0,GR,1599086843,73,38.3,21.78,73.4,3.27
67,tuatapere,33,NZ,1599087327,72,-46.13,167.68,45.0,11.01
68,plouzane,75,FR,1599087327,93,48.38,-4.62,64.4,13.87
69,clyde river,100,US,1599087327,71,41.3,-82.98,79.0,1.99
70,lebu,68,CL,1599087327,79,-37.62,-73.65,47.17,5.84
71,lida,97,BY,1599087327,95,53.88,25.3,54.9,6.26
72,pendleton,1,US,1599087328,17,45.67,-118.79,95.0,6.93
73,vorukh,77,TJ,1599087328,43,39.85,70.58,62.38,2.48
74,katsuura,65,JP,1599087328,86,35.13,140.3,84.99,1.99
75,huron,88,US,1599087328,82,41.15,-82.55,75.99,6.96
76,jamestown,90,US,1599087329,83,42.1,-79.24,73.99,10.29
77,corner brook,9,US,1599087329,69,33.8,-86.94,91.99,1.01
78,jinchang,100,CN,1599087329,32,38.5,102.17,61.59,2.82
79,taipei,75,TW,1599087212,74,25.05,121.53,86.0,2.24
80,shintomi,75,JP,1599087329,65,32.08,131.47,82.4,12.75
81,montauban,0,FR,1599087329,59,44.08,1.5,60.8,3.36
82,hermanus,78,ZA,1599087330,77,-34.42,19.23,62.01,8.99
83,marsassoum,20,SN,1599087330,100,12.83,-15.98,77.0,2.24
84,sinegorye,92,RU,1599087330,63,62.08,150.48,44.64,2.33
85,kampot,40,KH,1599087330,88,10.62,104.18,78.8,1.12
86,kantabanji,24,IN,1599087330,88,20.48,82.92,72.03,1.01
87,abalak,89,RU,1599087330,85,58.13,68.59,46.2,13.0
88,torbay,40,CA,1599087331,72,47.67,-52.73,60.01,6.93
89,san patricio,100,ML,1599087331,85,13.3,-4.9,77.13,9.73
90,leshukonskoye,4,RU,1599087331,91,64.9,45.76,41.2,3.04
91,saint-philippe,40,RE,1599087331,68,-21.36,55.77,66.99,5.82
92,barmer,43,IN,1599087332,73,25.75,71.38,81.1,6.08
93,altay,0,CN,1599086778,37,47.87,88.12,57.15,3.33
94,aklavik,90,CA,1599087332,93,68.22,-135.01,50.0,3.36
95,ponta delgada,96,PT,1599087332,90,38.73,-28.27,69.85,9.13
96,naica,60,MX,1599087332,25,27.85,-105.48,88.66,9.17
97,zheleznodorozhnyy,5,RU,1599087253,87,55.75,38.0,59.0,6.71
98,genhe,20,CN,1599087332,87,50.78,121.52,49.96,2.26
99,cabedelo,75,BR,1599087333,100,-6.98,-34.83,71.6,13.87
100,touros,20,BR,1599086659,88,-5.2,-35.46,75.2,6.93
101,kulhudhuffushi,100,MV,1599086812,88,6.62,73.07,79.0,21.92
102,khandbari,75,NP,1599087333,76,27.37,87.2,71.89,1.05
103,falmouth,90,GB,1599087333,100,50.15,-5.07,62.6,14.99
104,semnan,0,IR,1599087334,13,35.57,53.4,73.4,2.24
105,guerrero negro,10,MX,1599087334,67,17.67,-100.0,77.99,1.66
106,hithadhoo,100,MV,1599087334,74,-0.6,73.08,81.82,10.83
107,geraldton,84,AU,1599087334,93,-28.77,114.6,48.2,9.17
108,maragogi,53,BR,1599086638,81,-9.01,-35.22,72.95,10.54
109,bridlington,100,GB,1599087334,100,54.08,-0.19,57.99,9.17
110,kapaa,75,US,1599087335,62,22.08,-159.32,84.2,11.41
111,alta floresta,100,NO,1599086677,71,69.97,23.27,55.4,18.34
112,georgetown,20,MY,1599087317,94,5.41,100.34,78.8,4.5
113,bilibino,27,RU,1599087335,66,68.05,166.44,41.09,10.67
114,upernavik,67,GL,1599087335,74,72.79,-56.15,38.68,5.79
115,faanui,64,PF,1599087335,77,-16.48,-151.75,77.88,18.07
116,darhan,88,MN,1599086692,74,49.49,105.92,56.3,5.86
117,hofn,100,IS,1599087336,77,64.25,-15.21,50.81,18.34
118,samarai,86,PG,1599087336,87,-10.62,150.67,78.22,18.84
119,at-bashi,56,KG,1599087336,43,41.17,75.81,59.86,3.51
120,raniganj,1,IN,1599087336,87,23.62,87.13,78.51,4.97
121,tuktoyaktuk,75,CA,1599087337,87,69.45,-133.04,51.8,3.36
122,tucupita,30,VE,1599087337,92,9.06,-62.05,76.98,4.34
123,saldanha,0,ZA,1599087337,93,-33.01,17.94,57.2,6.93
124,mahebourg,75,MU,1599087337,94,-20.41,57.7,69.8,1.12
125,surt,0,LY,1599087337,82,31.21,16.59,78.24,14.0
126,klaksvik,84,FO,1599087337,100,62.23,-6.59,51.8,5.82
127,carnarvon,0,AU,1599087338,87,-24.87,113.63,55.4,8.05
128,camacha,20,PT,1599087338,77,33.08,-16.33,69.8,6.93
129,hit,0,IQ,1599087338,11,33.64,42.83,91.53,8.23
130,hay river,100,GB,1599087338,93,52.07,-3.13,61.0,1.99
131,avarua,2,CK,1599087338,78,-21.21,-159.78,78.8,14.99
132,sitka,90,US,1599086785,82,57.05,-135.33,55.4,8.05
133,san cristobal,100,ML,1599087191,85,13.3,-4.9,77.13,9.73
134,gat,0,IL,1599087201,75,31.61,34.76,80.01,3.62
135,aksarayskiy,5,RU,1599087339,60,46.79,48.01,69.8,4.47
136,kloulklubed,75,PW,1599087339,83,7.04,134.26,80.6,6.76
137,ulaangom,0,MN,1599087339,59,49.98,92.07,54.72,3.02
138,nikolskoye,61,RU,1599087339,82,59.7,30.79,55.99,6.71
139,amga,2,RU,1599087340,87,60.9,131.96,53.87,3.2
140,korla,36,CN,1599087340,64,41.76,86.15,78.01,4.56
141,gao,100,ML,1599087340,58,16.64,1.64,80.65,20.65
142,ahipara,19,NZ,1599087340,64,-35.17,173.17,56.46,16.96
143,yorosso,100,ML,1599087341,85,12.35,-4.78,75.61,2.3
144,east london,90,IS,1599087341,93,65.0,-15.0,44.6,19.46
145,pochutla,0,MX,1599086838,63,15.74,-96.47,89.01,4.0
146,half moon bay,75,LR,1599086777,94,6.38,-10.7,77.0,7.63
147,constitucion,0,CL,1599087341,81,-35.33,-72.42,50.0,12.12
148,kavaratti,100,IN,1599087341,81,10.57,72.64,81.01,18.05
149,port blair,0,CD,1599086560,44,-7.03,29.76,75.76,1.07
150,hamilton,20,US,1599087321,69,39.18,-84.53,80.6,8.05
151,dingle,85,PH,1599087342,86,11.0,122.67,79.7,1.63
152,mount isa,100,GB,1599087342,94,53.66,-1.85,61.0,8.99
153,taltal,2,CL,1599087342,70,-25.4,-70.48,56.88,4.7
154,mapiri,69,BO,1599087342,62,-15.25,-68.17,72.45,1.23
155,zemio,87,CF,1599087343,97,5.03,25.14,66.83,2.82
156,dalbandin,0,PK,1599087343,18,28.89,64.41,74.93,4.07
157,buala,16,SB,1599087343,72,-8.14,159.59,85.1,9.15
158,ribeira grande,0,ES,1599087343,93,42.75,-8.44,64.99,1.12
159,rocha,100,UY,1599087343,96,-34.48,-54.33,59.97,11.77
160,tasiilaq,100,GL,1599087344,92,65.61,-37.64,41.0,6.93
161,nanortalik,25,GL,1599087344,64,60.14,-45.24,44.01,7.94
162,byron bay,1,US,1599087344,31,44.03,-92.65,79.0,8.05
163,kouroussa,100,GN,1599087344,91,10.65,-9.88,70.02,3.74
164,bintulu,20,MY,1599087345,94,3.17,113.03,75.2,3.36
165,andros town,0,GR,1599087345,74,37.83,24.93,71.01,1.88
166,mwanza,0,TZ,1599087345,38,-2.52,32.9,73.45,15.28
167,koumac,0,NC,1599087345,49,-20.57,164.28,71.83,5.53
168,orbetello,20,IT,1599087345,82,42.44,11.22,77.0,3.36
169,norman wells,1,US,1599087202,62,35.22,-97.44,84.99,8.05
170,yantai,0,CN,1599087346,67,37.53,121.4,73.22,21.09
171,biak,66,ID,1599087346,79,-0.91,122.88,78.42,6.51
172,sur,15,OM,1599087346,57,22.57,59.53,83.32,4.25
173,udachnyy,75,RU,1599087346,93,66.42,112.4,50.0,4.47
174,bethel,95,US,1599087347,95,41.37,-73.41,75.0,5.32
175,charyshskoye,0,RU,1599087347,65,51.4,83.56,59.49,6.42
176,auki,21,SB,1599087347,67,-8.77,160.7,85.73,6.62
177,salalah,90,OM,1599087147,94,17.02,54.09,78.8,5.82
178,ambikapur,32,IN,1599087347,94,23.12,83.2,71.28,4.29
179,verkhnyaya inta,22,RU,1599087347,91,60.98,40.21,43.97,3.87
180,bathsheba,20,BB,1599087348,70,13.22,-59.52,84.2,10.29
181,erenhot,4,CN,1599087348,56,43.65,111.98,58.48,2.13
182,kavieng,60,PG,1599087348,69,-2.57,150.8,83.93,5.84
183,portland,1,US,1599087080,35,45.52,-122.68,91.99,10.29
184,paka,90,MY,1599087348,94,4.64,103.44,77.0,2.24
185,karratha,69,AU,1599087349,23,-20.74,116.85,71.28,7.96
186,severo-kurilsk,100,RU,1599087349,76,50.68,156.12,57.69,13.02
187,longyearbyen,75,SJ,1599087349,86,78.22,15.64,39.2,8.05
188,jadu,19,LY,1599087349,92,31.95,12.03,68.79,3.4
189,poum,5,NC,1599087349,59,-20.23,164.02,70.29,10.96
190,tabou,38,CI,1599087350,88,4.42,-7.35,75.24,7.67
191,maarianhamina,75,AX,1599087350,77,60.1,19.93,60.8,10.29
192,port augusta,0,CD,1599087351,44,-7.03,29.76,75.76,1.07
193,beloha,11,MG,1599087351,76,-25.17,45.05,55.24,6.4
194,cururupu,12,BR,1599086829,89,-1.83,-44.87,74.48,3.36
195,nouadhibou,0,MR,1599087307,73,20.93,-17.03,75.2,9.17
196,haines junction,90,US,1599087352,82,59.23,-135.44,55.4,10.29
197,kabalo,1,CD,1599087352,35,-6.05,26.92,77.27,1.39
198,bosaso,4,SO,1599087353,48,11.28,49.18,90.72,12.3
199,avera,1,US,1599087353,79,33.19,-82.53,91.4,6.93
200,kutum,99,SD,1599087353,77,14.2,24.67,69.87,9.44
201,khatanga,100,RU,1599087354,74,71.97,102.5,45.25,16.22
202,cache creek,1,US,1599087354,24,41.75,-111.75,84.0,3.36
203,teahupoo,20,PF,1599087355,62,-17.83,-149.27,84.2,11.41
204,brighton,100,GB,1599087069,84,50.83,-0.14,64.0,1.99
205,sibolga,100,ID,1599087355,80,1.74,98.78,76.71,3.18
206,camopi,94,GF,1599087355,92,3.17,-52.32,74.71,3.98
207,jaciara,3,BR,1599086781,19,-15.97,-54.97,81.79,3.65
208,esfarayen,0,IR,1599087356,33,37.08,57.51,57.2,2.24
209,olavarria,100,AR,1599087356,87,-36.89,-60.32,46.99,1.01
210,victoria,44,HK,1599087318,84,22.29,114.16,86.0,4.0
211,dabola,92,GN,1599087356,85,10.75,-11.12,69.12,2.53
212,lake havasu city,1,US,1599087356,28,42.33,-88.0,84.2,8.05
213,codrington,1,AU,1599087182,82,-38.27,141.97,52.9,20.45
214,kaoma,0,ZM,1599087356,40,-14.78,24.8,64.94,7.83
215,kahului,40,US,1599087357,46,20.89,-156.47,89.6,26.4
216,isetskoye,0,RU,1599087357,83,56.49,65.32,44.94,11.32
217,adrar,92,MR,1599087357,51,20.5,-10.07,84.02,15.7
218,ilulissat,99,GL,1599087357,80,69.22,-51.1,39.2,4.7
219,awjilah,0,LY,1599086799,22,29.11,21.29,83.53,4.45
220,college,75,US,1599087357,66,64.86,-147.8,53.6,3.36
221,bay roberts,1,US,1599087358,36,43.73,-84.02,77.0,9.17
222,roebourne,84,AU,1599087358,23,-20.78,117.13,71.65,8.72
223,nome,75,US,1599087358,70,64.5,-165.41,48.99,13.87
224,tual,95,ID,1599086770,83,-5.67,132.75,79.52,20.71
225,bafq,0,IR,1599087358,27,31.61,55.41,65.28,2.35
226,wuda,0,CN,1599087358,33,39.5,106.71,64.36,0.6
227,boddam,90,GB,1599087359,93,57.47,-1.78,59.0,5.82
228,vestmannaeyjar,100,IS,1599087359,89,63.44,-20.27,50.79,4.05
229,wewak,79,PG,1599087359,78,-3.55,143.63,81.03,5.84
230,kamthi,90,IN,1599087359,89,21.23,79.2,76.1,1.14
231,pevek,88,RU,1599087359,83,69.7,170.31,36.82,6.69
232,sinnamary,53,GF,1599087206,81,5.38,-52.95,79.56,12.48
233,khovu-aksy,9,RU,1599087360,69,51.13,93.6,50.49,3.22
234,pangnirtung,77,CA,1599086778,68,66.15,-65.71,47.08,8.52
235,havelock,27,US,1599087360,87,34.88,-76.9,84.99,3.0
236,port lincoln,0,CD,1599087321,44,-7.03,29.76,75.76,1.07
237,barguzin,93,RU,1599087360,79,53.62,109.62,55.04,1.66
238,krasnoselkup,100,RU,1599086822,87,65.7,82.47,42.15,7.2
239,sobolevo,89,RU,1599087361,83,54.43,31.9,60.44,13.02
240,marfino,12,RU,1599087361,67,55.7,37.38,59.0,11.18
241,thomasville,75,US,1599087334,73,35.88,-80.08,88.0,1.01
242,puerto leguizamo,0,ES,1599087322,50,36.59,-6.23,75.2,8.05
243,ankang,0,CN,1599087145,63,32.68,109.02,62.4,1.01
244,varzea grande,0,PT,1599087361,56,39.52,-8.33,72.0,1.01
245,gushikawa,20,JP,1599087274,94,26.35,127.87,82.4,3.36
246,dunedin,0,NZ,1599087141,66,-45.87,170.5,51.01,4.0
247,batagay,25,RU,1599087362,48,67.63,134.63,52.05,2.64
248,alma,90,CA,1599087261,100,48.55,-71.65,64.99,4.7
249,evanston,75,US,1599087362,27,42.04,-87.69,86.0,13.87
250,grenaa,0,DK,1599087362,93,56.42,10.88,54.0,1.12
251,cidreira,1,BR,1599087363,88,-30.18,-50.21,63.12,22.95
252,gambo,98,CF,1599087363,96,4.65,22.26,67.05,2.82
253,bandundu,72,CD,1599086842,65,-3.32,17.37,79.84,5.17
254,portsmouth,100,GB,1599087201,90,50.8,-1.09,64.0,1.01
255,vardo,100,NO,1599087363,67,70.37,31.11,57.2,9.17
256,kumertau,0,RU,1599087363,83,52.77,55.78,46.18,14.45
257,kosa,13,RU,1599087364,92,59.94,55.0,39.54,6.62
258,zhigansk,95,RU,1599087364,80,66.77,123.37,49.44,16.6
259,manono,1,CD,1599087364,32,-7.3,27.42,76.75,7.07
260,botou,12,CN,1599087364,60,38.07,116.57,62.47,7.87
261,ordzhonikidze,21,KZ,1599087365,74,52.44,61.74,51.66,12.73
262,coihaique,75,CL,1599087331,65,-45.58,-72.07,46.4,2.24
263,boa vista,91,CM,1599087365,91,4.43,8.97,74.26,2.75
264,atambua,18,ID,1599087365,61,-9.11,124.89,75.16,2.98
265,kharan,0,PK,1599087365,16,28.58,65.42,80.31,10.11
266,leningradskiy,100,RU,1599087365,86,69.38,178.42,35.71,5.68
267,pangody,99,RU,1599087366,86,65.85,74.49,43.84,9.71
268,ixtapa,75,MX,1599086515,74,20.7,-105.2,88.0,11.41
269,iskateley,60,RU,1599087366,86,67.68,53.15,41.86,8.63
270,yuanping,0,CN,1599087366,72,38.72,112.76,53.51,3.2
271,qasigiannguit,100,GL,1599086819,80,68.82,-51.19,39.2,4.7
272,kolyvan,63,RU,1599087366,64,55.31,82.74,68.0,13.42
273,quimper,75,FR,1599087082,100,48.0,-4.1,60.8,4.7
274,stromness,75,GB,1599087367,100,58.97,-3.3,57.2,8.05
275,bani walid,55,DO,1599087367,88,18.28,-70.33,78.01,3.0
276,fairbanks,90,US,1599087367,71,64.84,-147.72,53.6,1.63
277,jiuquan,75,CN,1599087367,28,39.74,98.52,61.61,3.71
278,sechura,0,PE,1599087367,69,-5.56,-80.82,65.26,19.73
279,bandarbeyla,72,SO,1599087368,73,9.49,50.81,78.12,21.83
280,japura,92,ID,1599087368,97,-0.32,102.35,72.73,1.99
281,trincomalee,82,LK,1599087186,77,8.57,81.23,79.63,13.89
282,barrow,90,US,1599087302,86,71.29,-156.79,39.2,16.11
283,kruisfontein,0,ZA,1599087368,39,-34.0,24.73,59.0,1.01
284,okato,3,NZ,1599087368,68,-39.2,173.88,48.99,18.99
285,shiyan,0,CN,1599087369,59,32.65,110.78,65.26,4.5
286,geilo,1,NO,1599087369,99,60.53,8.21,43.0,10.0
287,jiamusi,100,CN,1599087369,97,46.83,130.35,65.07,8.39
288,zhovtneve,82,UA,1599087369,91,50.66,24.25,53.29,5.01
289,dumraon,26,IN,1599087369,89,25.55,84.15,79.41,5.73
290,tommot,23,RU,1599087370,67,58.96,126.29,52.81,2.86
291,liure,75,HN,1599087370,65,13.54,-87.09,78.8,11.41
292,hamina,85,FI,1599087370,87,60.57,27.2,53.6,11.41
293,sydney,0,AU,1599087316,38,-33.87,151.21,73.99,14.99
294,lasa,40,IT,1599087370,93,46.62,10.7,52.0,3.36
295,faya,20,SA,1599087164,88,18.39,42.45,66.2,7.9
296,tiznit,0,MA,1599087182,32,29.58,-9.5,74.88,3.74
297,husavik,75,IS,1599086852,87,66.04,-17.34,44.6,12.75
298,iqaluit,75,CA,1599087371,93,63.75,-68.51,41.0,12.75
299,usinsk,36,RU,1599087371,84,65.99,57.53,39.51,16.53
300,mys shmidta,0,RU,1599087371,91,62.06,48.62,40.71,1.72
301,bengkulu,95,ID,1599087371,90,-3.8,102.27,75.88,7.94
302,burnie,52,AU,1599087371,92,-41.07,145.92,54.0,18.01
303,laguna,1,US,1599086721,42,38.42,-121.42,86.0,5.82
304,acajutla,27,SV,1599087372,93,13.59,-89.83,75.99,12.33
305,zharkent,0,KZ,1599087372,44,44.16,80.0,69.35,2.15
306,ostrovnoy,100,RU,1599087372,78,68.05,39.51,50.58,18.59
307,fairview,20,US,1599087372,83,40.81,-74.0,80.6,5.82
308,zhuhai,20,CN,1599087373,83,22.28,113.57,86.0,4.7
309,goure,62,NE,1599087373,82,13.98,10.27,78.01,3.0
310,reggio di calabria,0,US,1599087373,70,29.83,-89.75,89.01,3.0
311,russell,20,US,1599087373,52,32.35,-85.2,91.4,5.82
312,makakilo city,75,US,1599087373,43,21.35,-158.09,89.6,9.17
313,praia da vitoria,20,CV,1599087374,78,14.92,-23.51,80.6,18.34
314,bose,0,IT,1599087374,82,45.46,8.01,64.0,5.01
315,koslan,0,RU,1599087374,92,63.46,48.9,39.47,3.67
316,port hedland,0,CD,1599087351,44,-7.03,29.76,75.76,1.07
317,ranau,20,MY,1599087374,94,5.95,116.66,75.2,3.36
318,ust-nera,93,RU,1599087375,61,64.57,143.2,49.15,2.13
319,asau,99,RO,1599087375,94,46.43,26.4,62.01,3.2
320,akyab,89,MM,1599087375,86,20.15,92.9,78.69,4.99
321,cuiluan,100,CN,1599087375,86,47.72,128.65,62.28,3.2
322,nuevo laredo,1,US,1599087107,26,33.8,-117.15,98.01,10.29
323,requena,3,ES,1599087376,81,39.49,-1.1,64.0,2.84
324,calvinia,2,ZA,1599087376,93,-31.47,19.78,41.34,1.03
325,vaitape,62,PF,1599087376,76,-16.52,-151.75,78.75,17.98
326,sistranda,0,NO,1599086803,62,63.73,8.83,59.0,17.22
327,kununurra,10,AU,1599087376,60,-15.77,128.73,73.4,3.36
328,douglas,1,US,1599087080,15,41.3,-96.17,91.4,8.05
329,dayong,13,CN,1599087377,83,25.02,118.29,84.2,2.24
330,hasaki,20,JP,1599087377,89,35.73,140.83,84.2,10.29
331,arraial do cabo,20,BR,1599087377,44,-22.84,-46.65,77.0,9.17
332,mosetse,0,BW,1599087377,76,-20.75,26.65,58.03,16.87
333,tromso,75,NO,1599087246,87,69.65,18.96,50.0,19.46
334,bukama,0,CD,1599087377,31,-9.2,25.85,74.59,1.48
335,mago,100,RU,1599087378,87,53.25,140.18,62.26,0.29
336,gilgit,35,PK,1599087378,45,35.92,74.31,74.05,1.59
337,huarmey,9,PE,1599087378,75,-10.07,-78.15,62.69,10.69
338,chuncheng,42,CN,1599087378,61,22.17,111.79,89.01,2.01
339,agadez,8,NE,1599087378,28,19.75,10.25,93.87,11.65
340,hambantota,75,LK,1599086797,100,6.12,81.12,75.2,2.24
341,namatanai,1,PG,1599087140,67,-3.67,152.43,84.4,4.0
342,ndele,93,CF,1599087379,96,8.41,20.65,69.19,1.23
343,chabahar,0,IR,1599087379,88,25.29,60.64,78.8,3.13
344,tutoia,24,BR,1599087379,79,-2.76,-42.27,79.39,11.23
345,baragua,43,CU,1599087379,73,21.7,-78.63,85.78,9.78
346,sao joao da barra,88,IN,1599087380,92,20.51,76.21,70.74,1.52
347,vorontsovka,0,RU,1599087380,69,50.61,40.35,68.36,13.89
348,esperance,76,AU,1599086799,100,-33.87,121.9,42.8,10.29
349,port hardy,0,CD,1599087318,44,-7.03,29.76,75.76,1.07
350,valparaiso,1,CL,1599087278,58,-33.04,-71.63,60.8,13.87
351,chippewa falls,90,US,1599087380,59,46.3,-84.48,66.2,11.41
352,mar del plata,0,ES,1599087380,72,43.4,-4.01,66.0,3.36
353,lenexa,1,US,1599087124,51,38.95,-94.73,84.0,5.82
354,kondinskoye,14,RU,1599087381,80,59.65,67.41,43.25,13.31
355,barber,20,CW,1599087381,70,12.28,-69.07,86.0,11.41
356,tadine,2,NC,1599087381,61,-21.55,167.88,70.88,19.73
357,balad,0,IQ,1599087364,13,34.02,44.15,84.58,3.89
358,mandan,20,US,1599087381,27,46.83,-100.89,91.4,26.4
359,labuhan,80,ID,1599087382,85,-6.88,112.21,76.89,9.15
360,novikovo,0,RU,1599086828,66,51.15,37.89,67.15,13.27
361,muros,1,ES,1599086792,81,42.78,-9.06,64.99,3.0
362,gisborne,99,NZ,1599087312,69,-38.65,178.0,51.01,21.0
363,timmins,75,CA,1599087235,45,48.47,-81.33,66.2,14.99
364,vila franca do campo,0,PT,1599087382,77,42.03,-8.16,68.0,1.12
365,guisa,40,CU,1599087382,69,20.25,-76.54,82.4,8.05
366,namibe,2,AO,1599087382,80,-15.2,12.15,64.0,0.47
367,sterling,75,US,1599087303,74,39.01,-77.43,84.99,6.93
368,chuy,100,UY,1599087383,97,-33.7,-53.46,60.19,13.69
369,lagoa,93,PT,1599087383,78,39.05,-27.98,73.18,5.12
370,lincoln,1,US,1599087383,16,40.8,-96.67,91.4,7.27
371,petropavlovsk-kamchatskiy,75,RU,1599087384,93,53.05,158.65,55.4,2.24
372,carutapera,45,BR,1599087188,82,-1.2,-46.02,77.52,6.93
373,isfana,20,KG,1599087384,48,39.84,69.53,66.2,4.47
374,luanda,75,AO,1599087384,88,-8.84,13.23,71.6,6.93
375,cabadiangan,74,PH,1599087384,79,9.75,122.47,80.67,3.13
376,myitkyina,82,MM,1599087384,80,25.38,97.4,74.37,0.98
377,patrocinio,0,BR,1599087385,58,-18.94,-46.99,68.0,4.0
378,kano,59,NG,1599087385,79,12.0,8.52,74.7,2.08
379,carballo,7,ES,1599087385,93,43.21,-8.69,64.99,2.24
380,osorno,95,CL,1599087385,71,-40.57,-73.15,51.8,3.36
381,vikhorevka,75,RU,1599087385,100,56.12,101.16,51.8,8.95
382,luena,0,AO,1599087386,67,-11.78,19.92,65.61,3.0
383,lazurne,28,UA,1599087386,63,46.08,32.53,74.98,7.18
384,lompoc,1,US,1599087376,68,34.64,-120.46,69.01,16.11
385,nizwa,0,OM,1599087386,42,22.93,57.53,83.55,0.51
386,porto novo,0,PT,1599087274,87,41.15,-8.61,72.0,3.15
387,bakel,14,SN,1599087386,89,14.9,-12.46,75.54,9.98
388,mandalgovi,0,MN,1599087386,50,45.76,106.27,54.27,8.01
